symbol,token_address,coingecko_id,always_watch,exchange,borsa
AIDI,0xe3e24b4ea87935e15bbe99a24e9ace9998e4614d,aidi-finance-2,False,"binance,gate",binance
AGX,0xe2432110c32d0717e33c245fe0cfa2b26c07f47a,aigentx,False,"binance,gate",binance
AIMBOT,0x0c48250eb1f29491f1efbeec0261eb556f0973c7,aimbot,False,"binance,gate",binance
AIN,0x3a810ff7211b40c4fa76205a14efe161615d0385,ai-network,False,"binance,gate",binance
AIOZ,0x626e8036deb333b408be468f951bdb42433cbf18,aioz-network,False,"binance,gate",binance
AIPAD,0xe55d97a97ae6a17706ee281486e98a84095d8aaf,aipad,False,"binance,gate",binance
AI,0xbc544207ff1c5b2bc47a35f745010b603b97e99e,ai-pin,False,"binance,gate",binance
AIR,0x294b9da569c0d694870239813bbe7b5824fd2339,airian,False,"binance,gate",binance
APUFF,0x2be056e595110b30ddd5eaf674bdac54615307d9,airpuff,False,"binance,gate",binance
AST,0x27054b13b1b798b345b591a4d22e6562d47ea75a,airswap,False,"binance,gate",binance
ANYONE,0xfeac2eae96899709a43e252b6b92971d32f9c0f9,airtor-protocol,False,"binance,gate",binance
AISIG,0x508b27902c6c14972a10a4e413b9cfa449e9cedb,aisignal,False,"binance,gate",binance
AIS,0x42a7797351dfd281a80807196c8508eb70bb2af9,aisociety,False,"binance,gate",binance
SUIAGENT,0xa4392e3cef22679fa36704d37e5a8192cf8350f2,aisui,False,"binance,gate",binance
AITAX,0x9f04c2bd696a6191246144ba762456a24c457520,aitaxbot,False,"binance,gate",binance
AITHER,0x6f365eb3686ee95bdefbae71f1728d62c0af7ab1,aither,False,"binance,gate",binance
AIT,0x89d584a1edb3a70b3b07963f9a3ea5399e38b136,ait-protocol,False,"binance,gate",binance
AITT,0xeec2e29ff5cd4cecea61de09e9f28fae74c70ddd,aittcoin,False,"binance,gate",binance
X,0x5f5166c4fdb9055efb24a7e75cc1a21ca8ca61a3,ai-x,False,"binance,gate",binance
AJNA,0x9a96ec9b57fb64fbc60b423d1f4da7691bd35079,ajna-protocol,False,"binance,gate",binance
AKITA,0x3301ee63fb29f863f2333bd4466acb46cd8323e6,akita-inu,False,"binance,gate",binance
KAON,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,akropolis,False,"binance,gate",binance
AFS,0x56528c1df17fd5451451eb6efde297758bc8f9a1,aktionariat-alan-frei-company-tokenized-shares,False,"binance,gate",binance
DGCS,0x4e1a609ec87cf6477613f515f6eb64ef2d31089a,aktionariat-green-consensus-ag-tokenized-shares,False,"binance,gate",binance
GMCS,0x0f4dc5ada841cf5a7652e52d04ae786070cc9472,aktionariat-green-monkey-club-ag-tokenized-shares,False,"binance,gate",binance
TBOS,0xb446566d6d644249d5d82aab5fea8a5b7da3f691,aktionariat-tbo-co-comon-accelerator-holding-ag-tokenized-shares,False,"binance,gate",binance
ALD,0xb26c4b3ca601136daf98593feaeff9e0ca702a8d,aladdin-dao,False,"binance,gate",binance
ARUSD,0x07d1718ff05a8c53c8f05adaed57c0d672945f9a,aladdin-rusd,False,"binance,gate",binance
ASDCRV,0x43e54c2e7b3e294de3a155785f52ab49d87b9922,aladdin-sdcrv,False,"binance,gate",binance
MIST,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,alchemist,False,"binance,gate",binance
ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,alchemix,False,"binance,gate",binance
ALETH,0x0100546f2cd4c9d97f798ffc9755e47865ff7ee6,alchemix-eth,False,"binance,gate",binance
ALUSD,0xbc6da0fe9ad5f3b0d58160288917aa56653660e9,alchemix-usd,False,"binance,gate",binance
ACH,0xed04915c23f00a313a544955524eb7dbd823143d,alchemy-pay,False,"binance,gate",binance
ALEA,0x24bff4fe25b5807bad49b2c08d79bb271766e68a,alea,False,"binance,gate",binance
ALEPH,0x27702a26126e0b3702af63ee09ac4d1a084ef628,aleph,False,"binance,gate",binance
ALPH,0x590f820444fa3638e022776752c5eef34e2f89a6,alephium,False,"binance,gate",binance
ALI,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181,alethea-artificial-liquid-intelligence-token,False,"binance,gate",binance
ALEX,0xa831a4e181f25d3b35949e582ff27cc44e703f37,alexgo,False,"binance,gate",binance
ALFA,0x128ad1ad707c3b36e6f2ac9739f9df7516fdb592,alfa-society,False,"binance,gate",binance
ALF,0x0885f91c72a8de62a5349d4c89ca31b4ef650929,alf-token,False,"binance,gate",binance
ALGT,0xcb39637e7c03c2ac25405adb8d95035f2668b0d6,algotrade,False,"binance,gate",binance
ALCA,0xbb556b0ee2cbd89ed95ddea881477723a3aa8f8b,alicenet,False,"binance,gate",binance
TLM,0x888888848b652b3e3a0f34c96e00eec0f3a23f72,alien-worlds,False,"binance,gate",binance
ALIGN,0x50614cc8e44f7814549c223aa31db9296e58057c,aligned,False,"binance,gate",binance
$ADS,0x3106a0a076bedae847652f42ef07fd58589e001f,alkimi,False,"binance,gate",binance
ABR,0xa11bd36801d8fa4448f0ac4ea7a62e3634ce8c7c,allbridge,False,"binance,gate",binance
NXRA,0x644192291cc835a93d6330b24ea5f5fedd0eef9e,allianceblock-nexera,False,"binance,gate",binance
ALLIN,0x9b2b931d6ab97b6a887b2c5d8529537e6fe73ebe,all-in,False,"binance,gate",binance
AIO,0xb2f79d891f11bc8e9805db135defc04ead8d780e,all-in-one-wallet,False,"binance,gate",binance
AUSDT,0x9eead9ce15383caeed975427340b3a369410cfbf,alloy-tether,False,"binance,gate",binance
ALY,0xf2cdf38e24738ba379ffa38d47bc88a941df5627,ally,False,"binance,gate",binance
YOBASE,0x551d0501cd5df92663c3d12c3201c9d70ba79998,all-your-base,False,"binance,gate",binance
AMKT,0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d,alongside-crypto-market-index,False,"binance,gate",binance
ALPA,0x7ca4408137eb639570f8e647d9bd7b7e8717514a,alpaca,False,"binance,gate",binance
ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,alpha-finance,False,"binance,gate",binance
AG,0xcc8e21f599995d1c8367054841b8af5024ddf01b,alpha-gardeners,False,"binance,gate",binance
AIKEK,0x8dce83eca4af45dbe618da1779f9aaca43201084,alphakek-ai,False,"binance,gate",binance
ANVA,0x209a78d23f825950a5df4d6d21288e5212b44f2c,alphanova,False,"binance,gate",binance
AQT,0x2a9bdcff37ab68b95a53435adfd8892e86084f93,alpha-quark-token,False,"binance,gate",binance
ARBOT,0x723696965f47b990dff00064fcaca95f0ee01123,alpha-radar-bot,False,"binance,gate",binance
ASCN,0x378e97d19cf319eb311748ff4d9971dc349c8ad4,alphascan,False,"binance,gate",binance
ALPHA,0x38f9bb135ea88033f4377b9ea0fb5cfb773fec2f,alpha-shards,False,"binance,gate",binance
AUSDC,0xd50b9bbf136d1bd5cd5ac6ed9b3f26c458a6d4a6,alpha-usdc-vault,False,"binance,gate",binance
AWETH,0x47fe8ab9ee47dd65c24df52324181790b9f47efc,alpha-weth-vault,False,"binance,gate",binance
AZCHF,0xfa7ed49eb24a6117d8a3168eee69d26b45c40c63,alpha-zchf-vault,False,"binance,gate",binance
APAD,0x5aa7b9be58d4001a7065718641ce7b121b41ef9b,alphpad,False,"binance,gate",binance
